year,to_country,song,place_final,points_final,performer
1982,Ireland,"Here Today, Gone Tomorrow",11,49,The Duskeys
1982,Norway,Adieu,12,40,Jahn Teigen & Anita Skorgan
1982,Portugal,Bem-bom,13,32,Doce
1982,Yugoslavia,Halo Halo,14,21,Aska
1982,Turkey,Hani,15,20,Neço
1982,Netherlands,Jij En Ik,16,8,Bill van Dijk
1982,Denmark,Video-video,17,5,Brixx
1982,Finland,Nuku Pommiin,18,0,Kojo
1983,Luxembourg,Si La Vie Est Cadeau,1,142,Corinne Hermès
1983,Israel,Hi,2,136,Ofra Haza
1983,Sweden,Främling,3,126,Carola Häggkvist
1983,Yugoslavia,Dzuli,4,125,Danijel
1983,Germany,Rücksicht,5,94,Hoffmann und Hoffmann
1983,United Kingdom,I'm Never Giving Up,6,79,Sweet Dreams
1983,Netherlands,Sing Me A Song,7,66,Bernadette
1983,France,Vivre,8,56,Guy Bonnet
1983,Norway,Do Re Mi,9,53,Jahn Teigen
1983,Austria,Hurricane,9,53,Westend
1983,Italy,Per Lucia,11,41,Riccardo Fogli
1983,Finland,Fantasiaa,11,41,Ami Aspelund
1983,Portugal,Esta Balada Que Te Dou,13,33,Armando Gama
1983,Greece,Mou Les,14,32,Christie Stassinopoulou
1983,Switzerland,Io Così Non Ci Sto,15,28,Mariella Farré
1983,Cyprus,I Agapi Akoma Zi,16,26,Stavros and Constantina
1983,Denmark,Kloden Drejer,17,16,Gry Johansen
1983,Belgium,Rendez-vous,18,13,Pas de Deux
1983,Turkey,Opera,19,0,Çetin Alp and the Short Wave
1983,Spain,¿Quién Maneja Mi Barca?,19,0,Remedios Amaya
1984,Sweden,Diggi-loo Diggy-ley,1,145,Herrey's
1984,Ireland,Terminal '3',2,137,Linda Martin
1984,Spain,"Lady, Lady",3,106,Bravo
1984,Denmark,Det' Lige Det,4,101,Hot Eyes
1984,Belgium,Avanti La Vie,5,70,Jacques Zegers
1984,Italy,I Treni Di Tozeur,5,70,Alice and Battiato
1984,United Kingdom,Love Games,7,63,Belle and the Devotions
1984,France,Autant D'amoureux Que D'étoiles,8,61,Annick Thoumazeau
1984,Finland,Hengaillaan,9,46,Kirka
1984,Luxembourg,100% D'amour,10,39,Sophie Carle
1984,Portugal,Silêncio E Tanta Gente,11,38,Maria Guinot
1984,Turkey,Halay,12,37,"Bes Yil Önce, On Yil Sonra"
1984,Netherlands,Ik Hou Van Jou,13,34,Maribelle
1984,Germany,Aufrecht Geh'n,13,34,Mary Roos
1984,Cyprus,Anna Maria Lena,15,31,Andy Paul
1984,Switzerland,Welche Farbe Hat Der Sonnenschein,16,30,Rainy Day
1984,Norway,Lenge Leve Livet,17,29,Dollie de Luxe
1984,Yugoslavia,Ciao Amore,18,26,Vlado and Isolda
1984,Austria,Einfach Weg,19,5,Anita
1985,Norway,La Det Swinge,1,123,Bobbysocks
1985,Germany,Für Alle,2,105,Wind
1985,Sweden,Bra Vibrationer,3,103,Kikki Danielsson
1985,United Kingdom,Love Is...,4,100,Vikki
1985,Israel,Olé Olé,5,93,Izhar Cohen
1985,Ireland,Wait Until The Weekend Comes,6,91,Maria Christian
1985,Italy,"Magic, Oh Magic",7,78,Al Bano and Romina Power
1985,Austria,Kinder Dieser Welt,8,60,Gary Lux
1985,Finland,Eläköön Elämä,9,58,Sonja Lumme
1985,France,Femme Dans Ses Rêves Aussi,10,56,Roger Bens
1985,Denmark,Sku' Du Spør Fra No'n,11,41,Hot Eyes
1985,Switzerland,Piano Piano,12,39,Mariella Farré and Pino Gasparini
1985,Luxembourg,"Children, Kinder, Enfants",13,37,"Margo, Franck, Diane, Ireen, Malcolm & Chris"
1985,Spain,La Fiesta Terminó,14,36,Paloma San Basilio
1985,Turkey,Di Dai Di Dai Dai (Aşık oldum),14,36,MFÖ
1985,Cyprus,To Katalava Arga,16,15,Lia Vishy
1985,Greece,Miazoume,16,15,Takis Biniaris
1985,Portugal,"Penso Em Ti, Eu Sei",18,9,Adelaïde
1985,Belgium,Laat Me Nu Gaan,19,7,Linda Lepomme
1986,Belgium,J'aime La Vie,1,176,Sandra Kim
1986,Switzerland,Pas Pour Moi,2,140,Daniela Simons
1986,Luxembourg,L'amour De Ma Vie,3,117,Sherisse Laurence
1986,Ireland,You Can Count On Me,4,96,Luv Bug
1986,Sweden,E' De' Det Här Du Kallar Kärlek,5,78,Lasse Holm & Monica Törnell
1986,Denmark,Du Er Fuld Af Løgn,6,77,Lise Haavik and Trax
1986,United Kingdom,Runner In The Night,7,72,Ryder
1986,Germany,Über Die Brücke Geh'n,8,62,Ingrid Peters
1986,Turkey,Halley,9,53,Klips ve Onlar
1986,Spain,Valentino,10,51,Cadillac
1986,Yugoslavia,Željo Moja,11,49,Doris Dragović
1986,Norway,Romeo,12,44,Ketil Stokkan
1986,Netherlands,Alles Heeft Ritme,13,40,Frizzle Sizzle
1986,Portugal,Não Sejas Mau Para Mim,14,28,Dora
1986,Finland,Päivä Kahden Ihmisen,15,22,Kari Kuivalainen
1986,Iceland,Gleðibankinn,16,19,Icy
1986,France,Européennes,17,13,Cocktail Chic
1986,Austria,Die Zeit Ist Einsam,18,12,Timna Brauer
1986,Israel,Yavoh Yom,19,7,Moti Galadi and Sarai Tzuriel
1986,Cyprus,Tora Zo,20,4,Elpida
1987,Ireland,Hold Me Now,1,172,Johnny Logan
1987,Germany,Laß Die Sonne In Dein Herz,2,141,Wind
1987,Italy,Gente Di Mare,3,103,Umberto Tozzi and Raf
1987,Yugoslavia,Ja Sam Za Ples,4,92,Novi Fosili
1987,Netherlands,Rechtop In De Wind,5,83,Marcha
1987,Denmark,En Lille Melodi,5,83,Anne-Cathrine Herdorf
1987,Cyprus,Aspro Mavro,7,80,Alexia
1987,Israel,Shir Habatlanim,8,73,Datner and Kushnir
1987,Norway,Mitt Liv,9,65,Kate Gulbrandsen
1987,Greece,Stop!,10,64,Bang
1987,Belgium,Soldiers Of Love,11,56,Liliane Saint-Pierre
1987,Sweden,Boogaloo,12,50,Lotta Engberg
1987,United Kingdom,Only The Light,13,47,Rikki
1987,France,Les Mots D'amour N'ont Pas De Dimanche,14,44,Christine Minier
1987,Finland,Sata Salamaa,15,32,Vicky Rosti
1987,Iceland,Hægt Og Hljótt,16,28,Halla Margarét
1987,Switzerland,Moitié Moitié,17,26,Carole Rich
1987,Portugal,Neste Barco à Vela,18,15,Nevada
1987,Spain,No Estás Solo,19,10,Patricia Kraus
1987,Austria,Nur Noch Gefühl,20,8,Gary Lux
1987,Luxembourg,Amour Amour,21,4,Plastic Bertrand
1987,Turkey,Şarkım sevgi üstüne,22,0,Seyyal Tanner & Lokomotif
1988,Switzerland,Ne Partez Pas Sans Moi,1,137,Céline Dion
1988,United Kingdom,Go,2,136,Scott Fitzgerald
1988,Denmark,Ka' Du Se Hva' Jeg Sa',3,92,Kirsten & Søren
1988,Luxembourg,Croire,4,90,Lara Fabian
1988,Norway,For Vår Jord,5,88,Karoline Krüger
1988,Yugoslavia,Mangup,6,87,Srebrna Krila
1988,Israel,Ben Adam,7,85,Yardena Arazi
1988,Ireland,Take Him Home,8,79,Jump the Gun
1988,Netherlands,Shangri-la,9,70,Gerard Joling
1988,France,Chanteur De Charme,10,64,Gérard Lenorman
1988,Spain,La Chica Que Yo Quiero (made In Spain),11,58,La Década
1988,Sweden,Stad I Ljus,12,52,Tommy Körberg
1988,Italy,Ti Scrivo,12,52,Luca Barbarossa
1988,Germany,Lied Für Einen Freund,14,48,Maxi and Chris Garden
1988,Turkey,Sufi,15,37,MFÖ
1988,Iceland,Sókrates,16,20,Beathoven
1988,Greece,Kloun,17,10,Aphroditi Fryda
1988,Belgium,Laissez Briller Le Soleil,18,5,Reynaert
1988,Portugal,Voltarei,18,5,Dora
1988,Finland,Nauravat Silmät Muistetaan,20,3,Boulevard
1988,Austria,Lisa Mona Lisa,21,0,Wilfried
1989,Yugoslavia,Rock Me,1,137,Riva
1989,United Kingdom,Why Do I Always Get It Wrong,2,130,Live Report
1989,Denmark,Vi Maler Byen Rød,3,111,Birthe Kjær
1989,Sweden,En Dag,4,110,Tommy Nilsson
1989,Austria,Nur Ein Lied,5,97,Thomas Forstner
1989,Spain,Nacida Para Amar,6,88,Nina
1989,Finland,La Dolce Vita,7,76,Anneli Saaristo
1989,France,J'ai Volé La Vie,8,60,Nathalie Pâque
1989,Italy,Avrei Voluto,9,56,Anna Oxa and Fausto Leali
1989,Greece,To Diko Sou Asteri,9,56,Marianna
1989,Cyprus,Apopse As Vrethoume,11,51,Fanny Polymeri and Yiannis Savvidakis
1989,Israel,Derech Ha'melech,12,50,Gili & Galit
1989,Switzerland,Viver Senza Tei,13,47,Furbaz
1989,Germany,Flieger,14,46,Nino de Angelo
1989,Netherlands,Blijf Zoals Je Bent,15,45,Justine Pelmelay
1989,Portugal,Conquistador,16,39,Da Vinci
1989,Norway,Venners Nærhet,17,30,Britt Synnøve Johansen
1989,Ireland,The Real Me,18,21,Kiev Connolly and the Missing Passengers
1989,Belgium,Door De Wind,19,13,Ingeborg
1989,Luxembourg,Monsieur,20,8,Park Café
1989,Turkey,Bana Bana,21,5,Pan
1989,Iceland,Það Sem Enginn Sér,22,0,Daníel Augúst Haraldsson
1990,Italy,Insieme: 1992,1,149,Toto Cutugno
1990,France,White And Black Blues,2,132,Joelle Ursull
1990,Ireland,Somewhere In Europe,2,132,Liam Reilly
1990,Iceland,Eitt Lag Enn,4,124,Stjórnin
1990,Spain,Bandido,5,96,Azúcar Moreno
1990,United Kingdom,Give A Little Love Back To The World,6,87,Emma
1990,Yugoslavia,Hajde Da Ludujemo,7,81,Tajci
1990,Denmark,Hallo Hallo,8,64,Lonnie Devantier
1990,Germany,Frei Zu Leben,9,60,Chris Kempers and Daniel Kovac
1990,Austria,Keine Mauern Mehr,10,58,Simone
1990,Switzerland,Musik Klingt In Die Welt Hinaus,11,51,Egon Egemann
1990,Belgium,Macédomienne,12,46,Philippe Lafontaine
1990,Luxembourg,Quand Je Te Rêve,13,38,Céline Carzo
1990,Cyprus,Milas Poli,14,36,Haris Anastasiou
1990,Netherlands,Ik Wil Alles Met Je Delen,15,25,Maywood
1990,Sweden,Som En Vind,16,24,Edin-Ådahl
1990,Turkey,Gözlerinin Hapsindeyim,17,21,Kayahan
1990,Israel,Shara Barechovot,18,16,Rita
1990,Greece,Horis Skopo,19,11,Christos Callow and Wave
1990,Portugal,Há Sempre Alguém,20,9,Nucha
1990,Norway,Brandenburger Tor,21,8,Ketil Stokkan
1990,Finland,Fri?,21,8,Beat
1991,Sweden,Fångad Av En Stormvind,1,146,Carola
1991,France,C'est Le Dernier Qui A Parlé Qui A Raison,2,146,Amina
1991,Israel,Kan,3,139,Duo Datz
1991,Spain,Bailar Pegados,4,119,Sergio Dalma
1991,Switzerland,Canzone Per Te,5,118,Sandra Simò
1991,Malta,Could It Be,6,106,Paul Giordimaina and Georgina
1991,Italy,Comme E' Ddoce 'o Mare,7,89,Peppino di Capri
1991,Portugal,Lusitana Paixão,8,62,Dulce
1991,Cyprus,S.O.S.,9,60,Elena Patroclou
1991,Ireland,Could It Be That I'm In Love,10,47,Kim Jackson
1991,United Kingdom,A Message To Your Heart,10,47,Samantha Janus
1991,Turkey,Iki Dakika,12,44,"Izel Çeliköz, Rayhan Soykarçi and Can Ugurluér"
1991,Greece,I Anixi,13,36,Sofia Vossou
1991,Luxembourg,Un Baiser Volé,14,29,Sarah Bray
1991,Iceland,Nina,15,26,Stefán and Eyfi
1991,Belgium,Geef Het Op,16,23,Clouseau
1991,Norway,Mrs. Thompson,17,14,Just 4 Fun
1991,Germany,Dieser Traum Darf Niemals Sterben,18,10,Atlantis 2000
1991,Denmark,Lige Der Hvor Hjertet Slår,19,8,Anders Frandsen
1991,Finland,Hullu Yö,20,6,Kaija
1991,Yugoslavia,Brazil,21,1,Baby Doll
1991,Austria,Venedig Im Regen,22,0,Thomas Forstner
1992,Ireland,Why Me,1,155,Linda Martin
1992,United Kingdom,One Step Out Of Time,2,139,Michael Ball
1992,Malta,Little Child,3,123,Mary Spiteri
1992,Italy,Rapsodia,4,111,Mia Martini
1992,Greece,Olou Tou Kosmou tin Elpida,5,94,Cleopatra
1992,Israel,Ze Rak Sport,6,85,Dafna
1992,Iceland,Nei Eða Já,7,80,Heart 2 Heart
1992,France,Monté La Riviè,8,73,Kali
1992,Netherlands,Wijs Me De Weg,9,67,Humphrey Campbell
1992,Austria,Zusammen Geh'n,10,63,Tony Wegas
1992,Cyprus,Teriazoume,11,57,Evridiki
1992,Denmark,Alt Det Som Ingen Ser,12,47,Kenny & Lotte
1992,Yugoslavia,Ljubim Te Pesmama,13,44,Extra Nena
1992,Spain,Todo Esto Es La Música,14,37,Serafin
1992,Switzerland,Mister Music Man,15,32,Daisy Auvray
1992,Germany,Träume Sind Für Alle Da,16,27,Wind
1992,Portugal,Amor D'água Fresca,17,26,Diná
1992,Norway,Visjoner,18,23,Merethe Trøan
1992,Turkey,Yaz Bitti,19,17,Aylin Vatankos
1992,Belgium,Nous On Veut Des Violons,20,11,Morgane
1992,Luxembourg,Sou Fräi,21,10,Marion Welter and Kontinent
1992,Sweden,I Morgon är En Annan Dag,22,9,Christer Björkman
1992,Finland,Yamma Yamma,23,4,Pave
1993,Ireland,In Your Eyes,1,187,Niamh Kavanagh
1993,United Kingdom,Better The Devil You Know,2,164,Sonia
1993,Switzerland,"Moi, Tout Simplement",3,148,Annie Cotton
1993,France,Mama Corsica,4,121,Patrick Fiori
1993,Norway,Alle Mine Tankar,5,120,Silje Vige
1993,Netherlands,Vrede,6,92,Ruth Jacott
1993,Sweden,Eloïse,7,89,Arvingarna
1993,Malta,This Time,8,69,William Mangion
1993,Greece,"Ellada, Hora Tou Fotos",9,64,Kaiti Garbi
1993,Portugal,A Cidade Até Ser Dia,10,60,Anabela
1993,Spain,Hombres,11,58,Eva Santamaria
1993,Italy,Sole D'europa,12,45,Enrico Ruggeri
1993,Iceland,þá Veistu Svarið,13,42,Inga
1993,Austria,Maria Magdalena,14,32,Tony Wegas
1993,Croatia,Don't Ever Cry,15,31,Put
1993,Bosnia & Herzegovina,Sva Bol Svijeta,16,27,Fazla
1993,Finland,Tule Luo,17,20,Katri-Helena
1993,Germany,Viel Zu Weit,18,18,Münchener Freiheit
1993,Cyprus,Mi Stamatas,19,17,Kyriakos Zymboulakis & Demos Van Beke
1993,Luxembourg,Donne-moi Une Chance,20,11,Modern Times
1993,Turkey,Esmer Yarim,21,10,"Burak Aydos, Öztürk Baybora & Serter"
1993,Denmark,Under Stjernerne På Himlen,22,9,Tommy Seebach Band
1993,Slovenia,Tih Dezeven Dan,22,9,1X Band
1993,Israel,Shiru,24,4,Lakahat Shiru
1993,Belgium,Iemand Als Jij,25,3,Barbara
1994,Ireland,Rock 'n' Roll Kids,1,226,Paul Harrington & Charlie McGettigan
1994,Poland,To Nie Ja!,2,166,Edyta Górniak
1994,Germany,Wir Geben 'ne Party,3,128,MeKaDo
1994,Hungary,Kinek Mondjam El Vétkeimet,4,122,Friderika Bayer
1994,Malta,More Than Love,5,97,Moira Stafrace and Christopher Scicluna
1994,Norway,Duett,6,76,Elisabeth Andreasson & Jan Werner Danielsen
1994,France,Je Suis Un Vrai Garçon,7,74,Nina Morato
1994,Portugal,Chamar A Música,8,73,Sara Tavares
1994,Russia,Vechni Stranik,9,70,Youddiph
1994,United Kingdom,We Will Be Free (lonely Symphony),10,63,Frances Ruffelle
1994,Cyprus,Ime Anthropos Ke Ego,11,51,Evridiki
1994,Iceland,Nætur,12,49,Sigga
1994,Sweden,Stjärnorna,13,48,Marie Bergman and Roger Pontare
1994,Greece,To Trehantiri,14,44,Costas Bigalis and the Sea Lovers
1994,Bosnia & Herzegovina,Ostani Kraj Mene,15,39,Alma and Dejan
1994,Croatia,Nek'ti Bude Ljubav Sva,16,27,Tony Cetinski
1994,Austria,Für Den Frieden Der Welt,17,19,Petra Frey
1994,Spain,Ella No Es Ella,18,17,Alejandro Abad
1994,Switzerland,Sto Pregando,19,15,Duilio
1994,Slovakia,Nekovecná Piesen,19,15,Martin Durinda and Tublatanka
1994,Romania,Dincolo De Nori,21,14,Dan Bittman
1994,Finland,Bye Bye Baby,22,11,CatCat
1994,Netherlands,Waar Is De Zon,23,4,Willeke Alberti
1994,Estonia,Nagu Merelaine,24,2,Silvi Vrait
1994,Lithuania,Lopšinė mylimai,25,0,Ovidijus Vyšniauskas
1995,Norway,Nocturne,1,148,Secret Garden
1995,Spain,Vuelve Conmigo,2,119,Anabel Conde
1995,Sweden,Se På Mej,3,100,Jan Johansen
1995,France,Il Me Donne Rendez-vous,4,94,Nathalie Santamaria
1995,Denmark,Fra Mols Til Skagen,5,92,Aud Wilken
1995,Croatia,Nostalgija,6,91,Magazin and Lidija
1995,Slovenia,Prisluhni Mi,7,84,Darja Svajger
1995,Israel,Amen,8,81,Liora
1995,Cyprus,Sti Fotia,9,79,Alexandros Panayi
1995,Malta,Keep Me In Mind,10,76,Mike Spiteri
1995,Greece,Pia Prosefhi,12,68,Elina Constantopoulou
1995,Austria,Die Welt Dreht Sich Verkehrt,13,67,Stella Jones
1995,Ireland,Dreamin',14,44,Eddie Friel
1995,Iceland,Núna,15,31,Bó Halldórsson
1995,Turkey,Sev!,16,21,Arzu Ece
1995,Russia,Kolybelnaya Dlya Vulkana,17,17,Philipp Kirkorov
1995,Poland,Sama,18,15,Justyna
1995,Bosnia & Herzegovina,Dvadeset I Prvi Vijek,19,14,Davor Popovic
1995,Belgium,La Voix Est Libre,20,8,Frédéric Etherlinck
1995,Portugal,Baunilha E Chocolate,21,5,Tó Cruz
1995,Hungary,Ùj Nèv Egy Règi Hàz Fàlan,22,3,Czaba Szigeti
1995,Germany,Verliebt In Dich,23,1,Stone and Stone
1996,Ireland,The Voice,1,162,Eimear Quinn
1996,Norway,I Evighet,2,114,Elisabeth Andreasson
1996,Sweden,Den Vilda,3,100,One More Time
1996,Croatia,Sveta Ljubav,4,98,Maja Blagdan
1996,Estonia,Kaelakee Hääl,5,94,Ivo Linna and Maarja-Liis Ilus
1996,Portugal,O Meu Coração Não Tem Cor,6,92,Lúcia Moniz
1996,Netherlands,De Eerste Keer,7,78,Maxine & Franklin Brown
1996,United Kingdom,Ooh...Aah...Just A Little Bit,8,77,Gina G
1996,Cyprus,Mono Gia Mas,9,72,Constantinos
1996,Malta,In A Woman's Heart,10,68,Miriam Christine
1996,Austria,Weil's Dr Guat Got,10,68,George Nußbaumer
1996,Turkey,Besinçi Mevsim,12,57,Şebnem Paker
1996,Iceland,Sjúbídú,13,51,Anna Mjöll
1996,Greece,Emis Forame To Himona Anixiatika,14,36,Marianna Efstratiou
1996,Poland,Chce Znac Swój Grzech,15,31,Kasia Kowalska
1996,Switzerland,Mon Coeur L'aime,16,22,Cathy Leander
1996,Belgium,Liefde Is Een Kaartspel,16,22,Lisa del Bo
1996,Slovakia,Kým Nás Máš,18,19,Marcel Palonder
1996,France,Diwanit Bugale,19,18,Dan Ar Braz et l'Héritage des Celtes
1996,Spain,"¡Ay, Qué Deseo!",20,17,Antonio Carbonell
1996,Slovenia,Dan najlepših sanj,21,16,Regina
1996,Bosnia & Herzegovina,Za Našu Ljubav,22,13,Amila Glamocak
1996,Finland,Niin Kaunis On Taivas,23,9,Jasmine
1997,United Kingdom,Love Shine A Light,1,227,Katrina and The Waves
1997,Ireland,Mysterious Woman,2,157,Marc Roberts
1997,Turkey,Dinle,3,121,Sebnem Paker and Group Etnic
1997,Italy,Fiumi Di Parole,4,114,Jalisse
1997,Cyprus,Mana Mou,5,98,Chara and Andreas Konstantinou
1997,Spain,Sin Rencor,6,96,Marcos Llunas
1997,France,Sentiments Songes,7,95,Fanny
1997,Estonia,Keelatud Maa,8,82,Maarja-Liis Ilus
1997,Malta,Let Me Fly,9,66,Debbie Scerri
1997,Slovenia,Zbudi Se,10,60,Tanja Ribič
1997,Poland,Ale Jestem,11,54,Anna Maria Jopek
1997,Greece,Horepse,12,39,Marianna Zorba
1997,Hungary,"Miert Kell, Hogy Elmenj?",12,39,VIP
1997,Sweden,Bara Hon älskar Mig,14,36,Blond
1997,Russia,Primadonna,15,33,Alla Pugachova
1997,Denmark,Stemmen I Mit Liv,16,25,Kølig Kaj
1997,Croatia,Probudi Me,17,24,ENI
1997,Germany,Zeit,18,22,Bianca Shomburg
1997,Bosnia & Herzegovina,Goodbye,18,22,Alma Cardzic
1997,Iceland,Minn Hinsti Dans,20,18,Paul Oscar
1997,Austria,One Step,21,12,Bettina Soriat
1997,Switzerland,Dentro Di Me,22,5,Barbara Berta
1997,Netherlands,Niemand Heeft Nog Tijd,22,5,Mrs. Einstein
1997,Norway,San Francisco,24,0,Tor Endresen
1997,Portugal,Antes Do Adeus,24,0,Célia Lawson
1998,Israel,Diva,1,172,Dana International
1998,United Kingdom,Where Are You?,2,166,Imaani
1998,Malta,The One That I Love,3,165,Chiara
1998,Netherlands,Hemel En Aarde,4,150,Edsilia Rombley
1998,Croatia,Neka Mi Ne Svane,5,131,Danijela
1998,Belgium,Dis Oui,6,122,Mélanie Cohl
1998,Germany,Guildo Hat Euch Lieb,7,86,Guildo Horn
1998,Norway,Alltid Sommer,8,79,Lars A. Fredriksen
1998,Ireland,Is Always Over Now?,9,64,Dawn
1998,Sweden,Kärleken är,10,53,Jill Johnson
1998,Cyprus,Genesis,11,37,Michael Hajiyanni
1998,Portugal,Se Eu Te Pudesse Abraçar,12,36,Alma Lusa
1998,Estonia,Mere Lapsed,12,36,Koit Toome
1998,Turkey,Unutamazsin,14,25,Tüzmen
1998,Finland,Aava,15,22,Edea
1998,Spain,¿Qué Voy A Hacer Sin Ti?,16,21,Mikel Herzog
1998,Poland,To Takie Proste,17,19,Sixteen
1998,Slovenia,Naj Bogovi Sliijo,18,17,Vili Resnik
1998,North Macedonia,"Ne Zori, Zoro",19,16,Vlado Janevski
1998,Greece,Mia Krifi Evaisthissia,20,12,Dionysia and Thalassa group
1998,Slovakia,Modlitba,21,8,Katarína Hasprová
1998,Romania,Eu Cred,22,6,Malina Olinescu
1998,Hungary,A Holnap Már Ném Lesz Szomorú,23,4,Charlie
1998,France,Où Aller,24,3,Marie-Line
1998,Switzerland,Lass Ihn,25,0,Gunvor
1999,Sweden,Take Me To Your Heaven,1,163,Charlotte Nilsson
1999,Iceland,All Out Of Luck,2,146,Selma Björnsdóttir
1999,Germany,Reise Nach Jerusalem - Kudüs'e Seyahat,3,140,Sürpriz
1999,Croatia,Marija Magdalena,4,118,Doris Dragović
1999,Israel,Yom Huledeth,5,93,Eden
1999,Estonia,Diamond Of Night,6,90,Evelin Samuel and Camille
1999,Bosnia & Herzegovina,Putnici,7,86,Dino and Beatrice
1999,Denmark,This Time (i Mean It),8,71,Trine Jepsen & Michael Teschl
1999,Netherlands,One Good Reason,8,71,Marlayne
1999,Austria,Reflection,10,65,Bobbie Singer
1999,Slovenia,For A Thousand Years,11,50,Darja Svajger
1999,Belgium,Like The Wind,12,38,Venessa Chinitor
1999,United Kingdom,Say It Again,12,38,Precious
1999,Norway,Living My Life Without You,14,35,Stig André Van Eijk
1999,Malta,Believe 'n Peace,15,32,Times 3
1999,Turkey,Dön Artik,16,21,Tuba Önal & Grup Mystik
1999,Ireland,When You Need Me,17,18,The Mullan's
1999,Poland,Przytul Mnie Mocno,18,17,Mietek Szczesniak
1999,France,Je Veux Donner Ma Voix,19,14,Nayah
1999,Lithuania,Strazdas,20,13,Aiste Smilgeviciute
1999,Portugal,Como Tudo Começou,21,12,Rui Bandeira
1999,Cyprus,Tha'nai Erotas,22,2,Marlain Angelidou
1999,Spain,No Quiero Escuchar,23,1,Lydia
2000,Denmark,Fly On The Wings Of Love,1,195,Olsen brothers
2000,Russia,Solo,2,155,Alsou
2000,Latvia,My Star,3,136,BrainStorm
2000,Estonia,Once In A Lifetime,4,98,Ines
2000,Germany,Wadde Hadde Dudde Da,5,96,Stefan Raab
2000,Ireland,Millennium Of Love,6,92,Eamonn Toal
2000,Sweden,When Spirits Are Calling My Name,7,88,Roger Pontare
2000,Malta,Desire,8,73,Claudette Pace
2000,Croatia,Kada Zaspu Andeli,9,70,Goran Karan
2000,Turkey,Yorgunum Anla,10,59,Pinar Ayhan & S.O.S. band
2000,Norway,My Heart Goes Boom,11,57,Charmed
2000,Iceland,Tell Me!,12,45,August & Telma
2000,Netherlands,No Goodbyes,13,40,Linda Wagenmakers
2000,Austria,All To You,14,34,The rounder girls
2000,North Macedonia,100% Te Ljubam,15,29,XXL
2000,United Kingdom,Don't Play That Song Again,16,28,Nicki French
2000,Romania,The Moon,17,25,Taxi
2000,Spain,Colgado De Un Sueño,18,18,Serafín Zubiri
2000,Finland,A Little Bit,18,18,Nina Åström
2000,Switzerland,La Vita Cos'è?,20,14,Jane Bogaert
2000,Cyprus,Nomiza,21,8,Voice
2000,Israel,Sa'me'akh,22,7,Ping Pong
2000,France,On Aura Le Ciel,23,5,Sofia Mestari
2000,Belgium,Envie De Vivre,24,2,Nathalie Sorce
2001,Estonia,Everybody,1,198,"Tanel Padar, Dave Benton & 2XL"
2001,Denmark,Never Ever Let You Go,2,177,Rollo & King
2001,Greece,Die For You,3,147,Antique
2001,France,Je N'ai Que Mon âme,4,142,Natasha Saint-Pier
2001,Sweden,Listen To Your Heartbeat,5,100,Friends
2001,Spain,Dile Que La Quiero,6,76,David Civera
2001,Slovenia,Energy,7,70,Nua Derenda
2001,Germany,Wer Liebe Lebt,8,66,Michelle
2001,Malta,Another Summer Night,9,48,Fabrizio Faniello
2001,Croatia,Strings Of My Heart,10,42,Vanna
2001,Turkey,Sevgiliye Son,11,41,Sedat Yüce
2001,Russia,Lady Alpine Blue,12,37,Mumiy troll
2001,Lithuania,You Got Style,13,35,Skamp
2001,Bosnia & Herzegovina,Hano,14,29,Nino
2001,United Kingdom,No Dream Impossible,15,28,Lindsay D.
2001,Israel,Ein Davar,16,25,Tal Sondak
2001,Portugal,Só Sei Ser Feliz Assim,17,18,MTM
2001,Netherlands,Out On My Own,18,16,Michelle
2001,Latvia,Too Much,18,16,Arnis Mednis
2001,Poland,2 Long,20,11,Piasek
2001,Ireland,Without Your Love,21,6,Gary O'Shaughnessy
2001,Iceland,Angel,22,3,TwoTricky
2001,Norway,On My Own,22,3,Haldor Lægreid
2002,Latvia,I Wanna,1,176,Marie N
