,year,to_country,performer,song,place_final,points_final
301,1975,Monaco,Sophie,Une Chanson C'est Une Lettre,13.0,22.0
302,1975,Belgium,Ann Christy,Gelukkig Zijn,15.0,17.0
303,1975,Portugal,Duarte Mendes,Madrugada,16.0,16.0
304,1975,Germany,Joy Fleming,Ein Lied Kann Eine Brücke Sein,17.0,15.0
305,1975,Norway,Ellen Nikolaysen,You Touched My Life With Summer,18.0,11.0
306,1975,Turkey,Semiha Yanki,Seninle Bir Dakika,19.0,3.0
307,1976,United Kingdom,Brotherhood of Man,Save Your Kisses For Me,1.0,164.0
308,1976,France,Catherine Ferry,"Un, Deux, Trois",2.0,147.0
309,1976,Monaco,Mary Christy,"Toi, La Musique Et Moi",3.0,93.0
310,1976,Switzerland,"Peter, Sue and Marc","Djambo, Djambo",4.0,91.0
311,1976,Austria,Waterloo and Robinson,My Little World,5.0,80.0
312,1976,Israel,"Chocolate, Menta, Mastik",Emor Shalom,6.0,77.0
313,1976,Italy,Romina and Al Bano,We'll Live It All Again,7.0,69.0
314,1976,Belgium,Pierre Rapsat,Judy Et Cie.,8.0,68.0
315,1976,Netherlands,Sandra Reemer,The Party's Over Now,9.0,56.0
316,1976,Ireland,Red Hurley,When,10.0,54.0
317,1976,Finland,Fredi and The Friends,Pump-pump,11.0,44.0
318,1976,Portugal,Carlos do Carmo,Uma Flor De Verde Pinho,12.0,24.0
319,1976,Greece,Mariza Koch,"Panaghia Mou, Panaghia Mou",13.0,20.0
320,1976,Luxembourg,Jürgen Marcus,Chansons Pour Ceux Qui S'aiment,14.0,17.0
321,1976,Germany,Les Humphries Singers,"Sing, Sang, Song",15.0,12.0
322,1976,Spain,Braulio,Sobran Las Palabras,16.0,11.0
323,1976,Yugoslavia,Ambasadori,Ne Mogu Skriti Svoju Bol,17.0,10.0
324,1976,Norway,Anne-Karine Ström,Mata Hari,18.0,7.0
325,1977,France,Marie Myriam,L'oiseau Et L'enfant,1.0,136.0
326,1977,United Kingdom,Lynsey de Paul and Mike Moran,Rock Bottom,2.0,121.0
327,1977,Ireland,The Swarbriggs Plus Two,It's Nice To Be In Love Again,3.0,119.0
328,1977,Monaco,Michèle Torr,Une Petite Française,4.0,96.0
329,1977,Greece,"Pascalis, Marianna, Robert and Bessy",Mathima Solfez,5.0,92.0
330,1977,Switzerland,Pepe Lienhard Band,Swiss Lady,6.0,71.0
331,1977,Belgium,Dream Express,"A Million In One, Two, Three",7.0,69.0
332,1977,Germany,Silver Convention,Telegram,8.0,55.0
333,1977,Spain,Micky,Enseñame A Cantar,9.0,52.0
334,1977,Finland,Monica Aspelund,Lapponia,10.0,50.0
335,1977,Israel,Ilanit,Ah-haa-vah Hee Shir Lish-naa-yim,11.0,49.0
336,1977,Netherlands,Heddy Lester,De Mallemolen,12.0,35.0
337,1977,Italy,Mia Martini,Liberà,13.0,33.0
338,1977,Norway,Anita Skorgan,Casanova,14.0,18.0
339,1977,Portugal,Os Amigos,Portugal No Coração,14.0,18.0
340,1977,Luxembourg,Anne Marie B.,Frère Jacques,16.0,17.0
341,1977,Austria,Schmetterlinge,Boom Boom Boomerang,17.0,11.0
342,1977,Sweden,Forbes,Beatles,18.0,2.0
343,1978,Israel,Izhar Cohen and the Alphabeta,A-Ba-Ni-Bi,1.0,157.0
344,1978,Belgium,Jean Vallée,L'amour ça Fait Chanter La Vie,2.0,125.0
345,1978,France,Joël Prévost,Il Y Aura Toujours Des Violons,3.0,119.0
346,1978,Monaco,Caline and Olivier Toussaint,Les Jardins De Monaco,4.0,107.0
347,1978,Ireland,Colm T. Wilkinson,Born To Sing,5.0,86.0
348,1978,Germany,Ireen Sheer,Feuer,6.0,84.0
349,1978,Luxembourg,Baccara,Parlez-vous Français?,7.0,73.0
350,1978,Greece,Tania Tsanaklidou,Charlie Chaplin,8.0,66.0
351,1978,Spain,José Vélez,Bailemos Un Vals,9.0,65.0
352,1978,Switzerland,Carole Vinci,Vivre,9.0,65.0
353,1978,United Kingdom,Co-Co,The Bad Old Days,11.0,61.0
354,1978,Italy,Ricchi e Poveri,Questo Amore,12.0,53.0
355,1978,Netherlands,Harmony,'t Is Ok,13.0,37.0
356,1978,Sweden,Björn Skifs,Det Blir Alltid Värre Framåt Natten,14.0,26.0
357,1978,Austria,Springtime,Mrs. Caroline Robinson,15.0,14.0
358,1978,Denmark,Mabel,Boom Boom,16.0,13.0
359,1978,Portugal,Gemini,Dai-li-dou,17.0,5.0
360,1978,Finland,Seija Simola,Anna Rakkaudelle Tilaisuus,18.0,2.0
361,1978,Turkey,Nazar,Sevince,18.0,2.0
362,1978,Norway,Jahn Teigen,Mil Etter Mil,20.0,0.0
363,1979,Israel,Milk and Honey,Hallelujah,1.0,125.0
364,1979,Spain,Betty Missiego,Su Canción,2.0,116.0
365,1979,France,Anne-Marie David,Je Suis L'enfant-soleil,3.0,106.0
366,1979,Germany,Dschinghis Khan,,4.0,86.0
367,1979,Ireland,Cathal Dunne,Happy Man,5.0,80.0
368,1979,Denmark,Tommy Seebach,Disco Tango,6.0,76.0
369,1979,United Kingdom,Black Lace,Mary Ann,7.0,73.0
370,1979,Greece,Elpida,Socrati,8.0,69.0
371,1979,Portugal,Manuela Bravo,"Sobe, Sobe, Balão Sobe",9.0,64.0
372,1979,Switzerland,"Peter, Sue and Marc and Pfuri, Gorps and Kniri",Trödler Und Co.,10.0,60.0
373,1979,Norway,Anita Skorgan,Oliver,11.0,57.0
374,1979,Netherlands,Xandra,Colorado,12.0,51.0
375,1979,Luxembourg,Jeane Manson,J'ai Déjà Vu ça Dans Tes Yeux,13.0,44.0
376,1979,Finland,Katri-Helena,Katson Sineen Taivaan,14.0,38.0
377,1979,Italy,Matia Bazar,Raggio Di Luna,15.0,27.0
378,1979,Monaco,Laurent Vaguener,"Notre Vie, C'est La Musique",16.0,12.0
379,1979,Sweden,Ted Gärdestad,Satellit,17.0,8.0
380,1979,Belgium,Micha Marah,Hey Nana,18.0,5.0
381,1979,Austria,Christina Simon,Heute In Jerusalem,18.0,5.0
382,1980,Ireland,Johnny Logan,What's Another Year,1.0,143.0
383,1980,Germany,Katja Ebstein,Theater,2.0,128.0
384,1980,United Kingdom,Prima Donna,Love Enough For Two,3.0,106.0
385,1980,Switzerland,Paola,Cinéma,4.0,104.0
386,1980,Netherlands,Maggie MacNeal,Amsterdam,5.0,93.0
387,1980,Italy,Alan Sorrenti,Non So Che Darei,6.0,87.0
388,1980,Portugal,José Cid,"Um Grande, Grande Amor",7.0,71.0
389,1980,Austria,Blue Danube,Du Bist Musik,8.0,64.0
390,1980,Luxembourg,Sophie and Magaly,Papa Pingouin,9.0,56.0
391,1980,Sweden,Tomas Ledin,Just Nu!,10.0,47.0
392,1980,France,Profil,"Hé, Hé M'sieurs Dames",11.0,45.0
393,1980,Spain,Trigo Limpio,Quédate Esta Noche,12.0,38.0
394,1980,Greece,Anna Vissi and the Epikouri,Otostop,13.0,30.0
395,1980,Denmark,Bamses Venner,Tænker Altid På Dig,14.0,25.0
396,1980,Turkey,Ajda Pekkan,Petr'oil,15.0,23.0
397,1980,Norway,Sverre Kjellsberg & Mattis Hætta,Sámiid Ædnan,16.0,15.0
398,1980,Belgium,Telex,Euro-vision,17.0,14.0
399,1980,Morocco,Samira Bensaïd,Bitakat Hob,18.0,7.0
400,1980,Finland,Vesa-Matti Loiri,Huilumies,19.0,6.0
401,1981,United Kingdom,Bucks Fizz,Making Your Mind Up,1.0,136.0
402,1981,Germany,Lena Valaitis,Johnny Blue,2.0,132.0
403,1981,France,Jean Gabilou,Humanahum,3.0,125.0
404,1981,Switzerland,"Peter, Sue and Marc",Io Senza Tei,4.0,121.0
405,1981,Ireland,Sheeba,Horoscopes,5.0,105.0
406,1981,Cyprus,Island,Monika,6.0,69.0
407,1981,Israel,Habibi,Halaylah,7.0,56.0
408,1981,Greece,Yiannis Dimitras,Feggari Kalokerino,8.0,55.0
409,1981,Netherlands,Linda Williams,Het Is Een Wonder,9.0,51.0
410,1981,Sweden,Björn Skifs,Fångad I En Dröm,10.0,50.0
411,1981,Luxembourg,Jean-Claude Pascal,C'est Peut-être Pas L'Amérique,11.0,41.0
412,1981,Denmark,Debbie Cameron and Tommy Seebach,Krøller Eller Ej,11.0,41.0
413,1981,Belgium,Emly Starr,Samson,13.0,40.0
414,1981,Spain,Bacchelli,Y Solo Tú,14.0,38.0
415,1981,Yugoslavia,Seid-Memic Vajta,Leila,15.0,35.0
416,1981,Finland,Riki Sorsa,Reggae O.k.,16.0,27.0
417,1981,Austria,Marty Brem,Wenn Du Da Bist,17.0,20.0
418,1981,Turkey,Modern Folk Trio and Aysegül,Dönme Dolap,18.0,9.0
419,1981,Portugal,Carlos Paião,Play-back,18.0,9.0
420,1981,Norway,Finn Kalvik,Aldri i Livet,20.0,0.0
421,1982,Germany,Nicole,Ein Bißchen Frieden,1.0,161.0
422,1982,Israel,Avi Toledano,Hora,2.0,100.0
423,1982,Switzerland,Arlette Zola,Amour On T'aime,3.0,97.0
424,1982,Belgium,Stella,Si Tu Aimes Ma Musique,4.0,96.0
425,1982,Cyprus,Anna Vissi,Mono I Agapi,5.0,85.0
426,1982,Luxembourg,Svetlana,Cour Apres Le Temps,6.0,78.0
427,1982,United Kingdom,Bardo,One Step Further,7.0,76.0
428,1982,Sweden,Chips,Dag Efter Dag,8.0,67.0
429,1982,Austria,Mess,Sonntag,9.0,57.0
430,1982,Spain,Lucía,Él,10.0,52.0
431,1982,Ireland,The Duskeys,"Here Today, Gone Tomorrow",11.0,49.0
432,1982,Norway,Jahn Teigen & Anita Skorgan,Adieu,12.0,40.0
433,1982,Portugal,Doce,Bem-bom,13.0,32.0
434,1982,Yugoslavia,Aska,Halo Halo,14.0,21.0
435,1982,Turkey,Neço,Hani,15.0,20.0
436,1982,Netherlands,Bill van Dijk,Jij En Ik,16.0,8.0
437,1982,Denmark,Brixx,Video-video,17.0,5.0
438,1982,Finland,Kojo,Nuku Pommiin,18.0,0.0
439,1983,Luxembourg,Corinne Hermès,Si La Vie Est Cadeau,1.0,142.0
440,1983,Israel,Ofra Haza,Hi,2.0,136.0
441,1983,Sweden,Carola Häggkvist,Främling,3.0,126.0
442,1983,Yugoslavia,Danijel,Dzuli,4.0,125.0
443,1983,Germany,Hoffmann und Hoffmann,Rücksicht,5.0,94.0
444,1983,United Kingdom,Sweet Dreams,I'm Never Giving Up,6.0,79.0
445,1983,Netherlands,Bernadette,Sing Me A Song,7.0,66.0
446,1983,France,Guy Bonnet,Vivre,8.0,56.0
447,1983,Norway,Jahn Teigen,Do Re Mi,9.0,53.0
448,1983,Austria,Westend,Hurricane,9.0,53.0
449,1983,Italy,Riccardo Fogli,Per Lucia,11.0,41.0
450,1983,Finland,Ami Aspelund,Fantasiaa,11.0,41.0
451,1983,Portugal,Armando Gama,Esta Balada Que Te Dou,13.0,33.0
452,1983,Greece,Christie Stassinopoulou,Mou Les,14.0,32.0
453,1983,Switzerland,Mariella Farré,Io Così Non Ci Sto,15.0,28.0
454,1983,Cyprus,Stavros and Constantina,I Agapi Akoma Zi,16.0,26.0
455,1983,Denmark,Gry Johansen,Kloden Drejer,17.0,16.0
456,1983,Belgium,Pas de Deux,Rendez-vous,18.0,13.0
457,1983,Turkey,Çetin Alp and the Short Wave,Opera,19.0,0.0
458,1983,Spain,Remedios Amaya,¿Quién Maneja Mi Barca?,19.0,0.0
459,1984,Sweden,Herrey's,Diggi-loo Diggy-ley,1.0,145.0
460,1984,Ireland,Linda Martin,Terminal '3',2.0,137.0
461,1984,Spain,Bravo,"Lady, Lady",3.0,106.0
462,1984,Denmark,Hot Eyes,Det' Lige Det,4.0,101.0
463,1984,Belgium,Jacques Zegers,Avanti La Vie,5.0,70.0
464,1984,Italy,Alice and Battiato,I Treni Di Tozeur,5.0,70.0
465,1984,United Kingdom,Belle and the Devotions,Love Games,7.0,63.0
466,1984,France,Annick Thoumazeau,Autant D'amoureux Que D'étoiles,8.0,61.0
467,1984,Finland,Kirka,Hengaillaan,9.0,46.0
468,1984,Luxembourg,Sophie Carle,100% D'amour,10.0,39.0
469,1984,Portugal,Maria Guinot,Silêncio E Tanta Gente,11.0,38.0
470,1984,Turkey,"Bes Yil Önce, On Yil Sonra",Halay,12.0,37.0
471,1984,Netherlands,Maribelle,Ik Hou Van Jou,13.0,34.0
472,1984,Germany,Mary Roos,Aufrecht Geh'n,13.0,34.0
473,1984,Cyprus,Andy Paul,Anna Maria Lena,15.0,31.0
474,1984,Switzerland,Rainy Day,Welche Farbe Hat Der Sonnenschein,16.0,30.0
475,1984,Norway,Dollie de Luxe,Lenge Leve Livet,17.0,29.0
476,1984,Yugoslavia,Vlado and Isolda,Ciao Amore,18.0,26.0
477,1984,Austria,Anita,Einfach Weg,19.0,5.0
478,1985,Norway,Bobbysocks,La Det Swinge,1.0,123.0
479,1985,Germany,Wind,Für Alle,2.0,105.0
480,1985,Sweden,Kikki Danielsson,Bra Vibrationer,3.0,103.0
481,1985,United Kingdom,Vikki,Love Is...,4.0,100.0
482,1985,Israel,Izhar Cohen,Olé Olé,5.0,93.0
483,1985,Ireland,Maria Christian,Wait Until The Weekend Comes,6.0,91.0
484,1985,Italy,Al Bano and Romina Power,"Magic, Oh Magic",7.0,78.0
485,1985,Austria,Gary Lux,Kinder Dieser Welt,8.0,60.0
486,1985,Finland,Sonja Lumme,Eläköön Elämä,9.0,58.0
487,1985,France,Roger Bens,Femme Dans Ses Rêves Aussi,10.0,56.0
488,1985,Denmark,Hot Eyes,Sku' Du Spør Fra No'n,11.0,41.0
489,1985,Switzerland,Mariella Farré and Pino Gasparini,Piano Piano,12.0,39.0
490,1985,Luxembourg,"Margo, Franck, Diane, Ireen, Malcolm & Chris","Children, Kinder, Enfants",13.0,37.0
491,1985,Spain,Paloma San Basilio,La Fiesta Terminó,14.0,36.0
492,1985,Turkey,MFÖ,Di Dai Di Dai Dai (Aşık oldum),14.0,36.0
493,1985,Cyprus,Lia Vishy,To Katalava Arga,16.0,15.0
494,1985,Greece,Takis Biniaris,Miazoume,16.0,15.0
495,1985,Portugal,Adelaïde,"Penso Em Ti, Eu Sei",18.0,9.0
496,1985,Belgium,Linda Lepomme,Laat Me Nu Gaan,19.0,7.0
497,1986,Belgium,Sandra Kim,J'aime La Vie,1.0,176.0
498,1986,Switzerland,Daniela Simons,Pas Pour Moi,2.0,140.0
499,1986,Luxembourg,Sherisse Laurence,L'amour De Ma Vie,3.0,117.0
500,1986,Ireland,Luv Bug,You Can Count On Me,4.0,96.0
501,1986,Sweden,Lasse Holm & Monica Törnell,E' De' Det Här Du Kallar Kärlek,5.0,78.0
502,1986,Denmark,Lise Haavik and Trax,Du Er Fuld Af Løgn,6.0,77.0
503,1986,United Kingdom,Ryder,Runner In The Night,7.0,72.0
504,1986,Germany,Ingrid Peters,Über Die Brücke Geh'n,8.0,62.0
505,1986,Turkey,Klips ve Onlar,Halley,9.0,53.0
506,1986,Spain,Cadillac,Valentino,10.0,51.0
507,1986,Yugoslavia,Doris Dragović,Željo Moja,11.0,49.0
508,1986,Norway,Ketil Stokkan,Romeo,12.0,44.0
509,1986,Netherlands,Frizzle Sizzle,Alles Heeft Ritme,13.0,40.0
510,1986,Portugal,Dora,Não Sejas Mau Para Mim,14.0,28.0
511,1986,Finland,Kari Kuivalainen,Päivä Kahden Ihmisen,15.0,22.0
512,1986,Iceland,Icy,Gleðibankinn,16.0,19.0
513,1986,France,Cocktail Chic,Européennes,17.0,13.0
514,1986,Austria,Timna Brauer,Die Zeit Ist Einsam,18.0,12.0
515,1986,Israel,Moti Galadi and Sarai Tzuriel,Yavoh Yom,19.0,7.0
516,1986,Cyprus,Elpida,Tora Zo,20.0,4.0
517,1987,Ireland,Johnny Logan,Hold Me Now,1.0,172.0
518,1987,Germany,Wind,Laß Die Sonne In Dein Herz,2.0,141.0
519,1987,Italy,Umberto Tozzi and Raf,Gente Di Mare,3.0,103.0
520,1987,Yugoslavia,Novi Fosili,Ja Sam Za Ples,4.0,92.0
521,1987,Netherlands,Marcha,Rechtop In De Wind,5.0,83.0
522,1987,Denmark,Anne-Cathrine Herdorf,En Lille Melodi,5.0,83.0
523,1987,Cyprus,Alexia,Aspro Mavro,7.0,80.0
524,1987,Israel,Datner and Kushnir,Shir Habatlanim,8.0,73.0
525,1987,Norway,Kate Gulbrandsen,Mitt Liv,9.0,65.0
526,1987,Greece,Bang,Stop!,10.0,64.0
527,1987,Belgium,Liliane Saint-Pierre,Soldiers Of Love,11.0,56.0
528,1987,Sweden,Lotta Engberg,Boogaloo,12.0,50.0
529,1987,United Kingdom,Rikki,Only The Light,13.0,47.0
530,1987,France,Christine Minier,Les Mots D'amour N'ont Pas De Dimanche,14.0,44.0
531,1987,Finland,Vicky Rosti,Sata Salamaa,15.0,32.0
532,1987,Iceland,Halla Margarét,Hægt Og Hljótt,16.0,28.0
533,1987,Switzerland,Carole Rich,Moitié Moitié,17.0,26.0
534,1987,Portugal,Nevada,Neste Barco à Vela,18.0,15.0
535,1987,Spain,Patricia Kraus,No Estás Solo,19.0,10.0
536,1987,Austria,Gary Lux,Nur Noch Gefühl,20.0,8.0
537,1987,Luxembourg,Plastic Bertrand,Amour Amour,21.0,4.0
538,1987,Turkey,Seyyal Tanner & Lokomotif,Şarkım sevgi üstüne,22.0,0.0
539,1988,Switzerland,Céline Dion,Ne Partez Pas Sans Moi,1.0,137.0
540,1988,United Kingdom,Scott Fitzgerald,Go,2.0,136.0
541,1988,Denmark,Kirsten & Søren,Ka' Du Se Hva' Jeg Sa',3.0,92.0
542,1988,Luxembourg,Lara Fabian,Croire,4.0,90.0
543,1988,Norway,Karoline Krüger,For Vår Jord,5.0,88.0
544,1988,Yugoslavia,Srebrna Krila,Mangup,6.0,87.0
545,1988,Israel,Yardena Arazi,Ben Adam,7.0,85.0
546,1988,Ireland,Jump the Gun,Take Him Home,8.0,79.0
547,1988,Netherlands,Gerard Joling,Shangri-la,9.0,70.0
548,1988,France,Gérard Lenorman,Chanteur De Charme,10.0,64.0
549,1988,Spain,La Década,La Chica Que Yo Quiero (made In Spain),11.0,58.0
550,1988,Sweden,Tommy Körberg,Stad I Ljus,12.0,52.0
551,1988,Italy,Luca Barbarossa,Ti Scrivo,12.0,52.0
552,1988,Germany,Maxi and Chris Garden,Lied Für Einen Freund,14.0,48.0
553,1988,Turkey,MFÖ,Sufi,15.0,37.0
554,1988,Iceland,Beathoven,Sókrates,16.0,20.0
555,1988,Greece,Aphroditi Fryda,Kloun,17.0,10.0
556,1988,Belgium,Reynaert,Laissez Briller Le Soleil,18.0,5.0
557,1988,Portugal,Dora,Voltarei,18.0,5.0
558,1988,Finland,Boulevard,Nauravat Silmät Muistetaan,20.0,3.0
559,1988,Austria,Wilfried,Lisa Mona Lisa,21.0,0.0
560,1989,Yugoslavia,Riva,Rock Me,1.0,137.0
561,1989,United Kingdom,Live Report,Why Do I Always Get It Wrong,2.0,130.0
562,1989,Denmark,Birthe Kjær,Vi Maler Byen Rød,3.0,111.0
563,1989,Sweden,Tommy Nilsson,En Dag,4.0,110.0
564,1989,Austria,Thomas Forstner,Nur Ein Lied,5.0,97.0
565,1989,Spain,Nina,Nacida Para Amar,6.0,88.0
566,1989,Finland,Anneli Saaristo,La Dolce Vita,7.0,76.0
567,1989,France,Nathalie Pâque,J'ai Volé La Vie,8.0,60.0
568,1989,Italy,Anna Oxa and Fausto Leali,Avrei Voluto,9.0,56.0
569,1989,Greece,Marianna,To Diko Sou Asteri,9.0,56.0
570,1989,Cyprus,Fanny Polymeri and Yiannis Savvidakis,Apopse As Vrethoume,11.0,51.0
571,1989,Israel,Gili & Galit,Derech Ha'melech,12.0,50.0
572,1989,Switzerland,Furbaz,Viver Senza Tei,13.0,47.0
573,1989,Germany,Nino de Angelo,Flieger,14.0,46.0
574,1989,Netherlands,Justine Pelmelay,Blijf Zoals Je Bent,15.0,45.0
575,1989,Portugal,Da Vinci,Conquistador,16.0,39.0
576,1989,Norway,Britt Synnøve Johansen,Venners Nærhet,17.0,30.0
577,1989,Ireland,Kiev Connolly and the Missing Passengers,The Real Me,18.0,21.0
578,1989,Belgium,Ingeborg,Door De Wind,19.0,13.0
579,1989,Luxembourg,Park Café,Monsieur,20.0,8.0
580,1989,Turkey,Pan,Bana Bana,21.0,5.0
581,1989,Iceland,Daníel Augúst Haraldsson,Það Sem Enginn Sér,22.0,0.0
582,1990,Italy,Toto Cutugno,Insieme: 1992,1.0,149.0
583,1990,France,Joelle Ursull,White And Black Blues,2.0,132.0
584,1990,Ireland,Liam Reilly,Somewhere In Europe,2.0,132.0
585,1990,Iceland,Stjórnin,Eitt Lag Enn,4.0,124.0
586,1990,Spain,Azúcar Moreno,Bandido,5.0,96.0
587,1990,United Kingdom,Emma,Give A Little Love Back To The World,6.0,87.0
588,1990,Yugoslavia,Tajci,Hajde Da Ludujemo,7.0,81.0
589,1990,Denmark,Lonnie Devantier,Hallo Hallo,8.0,64.0
590,1990,Germany,Chris Kempers and Daniel Kovac,Frei Zu Leben,9.0,60.0
591,1990,Austria,Simone,Keine Mauern Mehr,10.0,58.0
592,1990,Switzerland,Egon Egemann,Musik Klingt In Die Welt Hinaus,11.0,51.0
593,1990,Belgium,Philippe Lafontaine,Macédomienne,12.0,46.0
594,1990,Luxembourg,Céline Carzo,Quand Je Te Rêve,13.0,38.0
595,1990,Cyprus,Haris Anastasiou,Milas Poli,14.0,36.0
596,1990,Netherlands,Maywood,Ik Wil Alles Met Je Delen,15.0,25.0
597,1990,Sweden,Edin-Ådahl,Som En Vind,16.0,24.0
598,1990,Turkey,Kayahan,Gözlerinin Hapsindeyim,17.0,21.0
599,1990,Israel,Rita,Shara Barechovot,18.0,16.0
600,1990,Greece,Christos Callow and Wave,Horis Skopo,19.0,11.0
601,1990,Portugal,Nucha,Há Sempre Alguém,20.0,9.0
602,1990,Norway,Ketil Stokkan,Brandenburger Tor,21.0,8.0
603,1990,Finland,Beat,Fri?,21.0,8.0
604,1991,Sweden,Carola,Fångad Av En Stormvind,1.0,146.0
605,1991,France,Amina,C'est Le Dernier Qui A Parlé Qui A Raison,2.0,146.0
606,1991,Israel,Duo Datz,Kan,3.0,139.0
607,1991,Spain,Sergio Dalma,Bailar Pegados,4.0,119.0
608,1991,Switzerland,Sandra Simò,Canzone Per Te,5.0,118.0
609,1991,Malta,Paul Giordimaina and Georgina,Could It Be,6.0,106.0
