song,year,place_final,points_final,to_country
Net Als Toen,1957,1,31,Netherlands
La Belle Amour,1957,2,17,France
Skibet Skal Sejle I Nat,1957,3,10,Denmark
Amours Mortes (Tant De Peine),1957,4,8,Luxembourg
Telefon Telefon,1957,4,8,Germany
Corde Della Mia Chitarra,1957,6,7,Italy
All,1957,7,6,United Kingdom
Straatdeuntje,1957,8,5,Belgium
L'enfant Que J'étais,1957,8,5,Switzerland
Wohin Kleines Pony,1957,10,3,Austria
Dors Mon Amour,1958,1,27,France
Giorgio,1958,2,24,Switzerland
Nel Blu Dipinto Di Blu,1958,3,13,Italy
Lilla Stjärna,1958,4,10,Sweden
Ma Petite Chatte,1958,5,8,Belgium
Die Ganze Welt Braucht Liebe,1958,5,8,Austria
Für Zwei Groschen Musik,1958,7,5,Germany
Jeg Rev Et Blad Ud Af Min Dagbog,1958,8,3,Denmark
Heel De Wereld,1958,9,1,Netherlands
Un Grand Amour,1958,9,1,Luxembourg
Een Beetje,1959,1,21,Netherlands
Sing Little Birdie,1959,2,16,United Kingdom
Oui Oui Oui Oui,1959,3,15,France
Irgendwoher,1959,4,14,Switzerland
Uh Jeg Ville Ønske Jeg Var Dig,1959,5,12,Denmark
Piove,1959,6,9,Italy
Hou Toch Van Mij,1959,6,9,Belgium
Heut' Woll'n Wir Tanzen Geh'n,1959,8,5,Germany
Augustin,1959,9,4,Sweden
Der K. Und K. Kalypso Aus Wien,1959,9,4,Austria
Mon Ami Pierrot,1959,11,1,Monaco
Tom Pillibi,1960,1,32,France
Looking High High High,1960,2,25,United Kingdom
Ce Soir-là,1960,3,15,Monaco
Voi-voi,1960,4,11,Norway
Bonne Nuit Ma Chérie!,1960,4,11,Germany
Mon Amour Pour Toi,1960,6,9,Belgium
Du Hast Mich So Fasziniert,1960,7,6,Austria
Cielo E Terra,1960,8,5,Switzerland
Romantica,1960,8,5,Italy
Alla Andra Får Varann,1960,10,4,Sweden
Det Var En Yndig Tid,1960,10,4,Denmark
Wat Een Geluk,1960,12,2,Netherlands
So Laang We's Du Do Bast,1960,13,1,Luxembourg
Nous Les Amoureux,1961,1,31,Luxembourg
Are You Sure?,1961,2,24,United Kingdom
Nous Aurons Demain,1961,3,16,Switzerland
Printemps (avril Carillonne),1961,4,13,France
Angelique,1961,5,12,Denmark
Al Di Là,1961,5,12,Italy
Sommer i Palma,1961,7,10,Norway
Neke Davne Zvezde,1961,8,9,Yugoslavia
Estando Contigo,1961,9,8,Spain
Allons Allons Les Enfants,1961,10,6,Monaco
Valoa Ikkunassa,1961,10,6,Finland
Wat Een Dag,1961,10,6,Netherlands
Einmal Sehen Wir Uns Wieder,1961,13,3,Germany
April April,1961,14,2,Sweden
Sehnsucht,1961,15,1,Austria
September Gouden Roos,1961,15,1,Belgium
Un Premier Amour,1962,1,26,France
Dis Rien,1962,2,13,Monaco
Petit Bonhomme,1962,3,11,Luxembourg
Ne Pali Svetlo U Sumrak,1962,4,10,Yugoslavia
Ring-a-ding Girl,1962,4,10,United Kingdom
Zwei Kleine Italiener,1962,6,9,Germany
Tipi-tii,1962,7,4,Finland
Sol Och Vår,1962,7,4,Sweden
Addio Addio,1962,9,3,Italy
Vuggevise,1962,10,2,Denmark
Kom Sol Kom Regn,1962,10,2,Norway
Le Retour,1962,10,2,Switzerland
Ton Nom,1962,13,0,Belgium
Llámame,1962,13,0,Spain
Nur In Der Wiener Luft,1962,13,0,Austria
Katinka,1962,13,0,Netherlands
Dansevise,1963,1,42,Denmark
T'en Va Pas,1963,2,40,Switzerland
Uno Per Tutte,1963,3,37,Italy
Say Wonderful Things,1963,4,28,United Kingdom
Elle était Si Jolie,1963,5,25,France
L'amour S'en Va,1963,5,25,Monaco
Vielleicht Geschieht Ein Wunder,1963,7,16,Austria
A Force De Prier,1963,8,13,Luxembourg
Marcel,1963,9,5,Germany
Waarom,1963,10,4,Belgium
Brodovi,1963,11,3,Yugoslavia
Algo Prodigioso,1963,12,2,Spain
Een Speeldoos,1963,13,0,Netherlands
Solhverv,1963,13,0,Norway
Muistojeni Laulu,1963,13,0,Finland
En Gång I Stockholm,1963,13,0,Sweden
Non Ho L'étà,1964,1,49,Italy
I Love The Little Things,1964,2,17,United Kingdom
Où Sont-elles Passées?,1964,3,15,Monaco
Dès Que Le Printemps Revient,1964,4,14,Luxembourg
Le Chant De Mallory,1964,4,14,France
Warum Nur Warum?,1964,6,11,Austria
Laiskotellen,1964,7,9,Finland
Spiral,1964,8,6,Norway
Sangen Om Dig,1964,9,4,Denmark
Jij Bent Mijn Leven,1964,10,2,Netherlands
Près De Ma Rivière,1964,10,2,Belgium
Caracola,1964,12,1,Spain
Man Gewöhnt Sich So Schnell An Das Schöne,1964,13,0,Germany
Oração,1964,13,0,Portugal
Život je sklopio krug,1964,13,0,Yugoslavia
I Miei Pensieri,1964,13,0,Switzerland
Poupée De Cire Poupée De Son,1965,1,32,Luxembourg
I Belong,1965,2,26,United Kingdom
N'avoue Jamais,1965,3,22,France
Sag Ihr Ich Lass' Sie Grüßen,1965,4,16,Austria
Se Piangi Se Ridi,1965,5,15,Italy
I'm Walking The Streets In The Rain,1965,6,11,Ireland
For Din Skyld,1965,7,10,Denmark
Non à Jamais Sans Toi,1965,8,8,Switzerland
Va Dire à L'amour,1965,9,7,Monaco
Absent Friend,1965,10,6,Sweden
Het Is Genoeg,1965,11,5,Netherlands
Ceznja,1965,12,2,Yugoslavia
Karusell,1965,13,1,Norway
Sol De Inverno,1965,13,1,Portugal
Qué Bueno Qué Bueno,1965,15,0,Spain
Paradies Wo Bist Du?,1965,15,0,Germany
Als Het Weer Lente Is,1965,15,0,Belgium
Aurinko Laskee Länteen,1965,15,0,Finland
Merci Chérie,1966,1,31,Austria
Nygammal Vals,1966,2,16,Sweden
Intet Er Nytt Under Solen,1966,3,15,Norway
Un Peu De Poivre Un Peu De Sel,1966,4,14,Belgium
Come Back To Stay,1966,4,14,Ireland
Ne Vois-tu Pas?,1966,6,12,Switzerland
Brez Besed,1966,7,9,Yugoslavia
Yo Soy Aquél,1966,7,9,Spain
A Man Without Love,1966,9,8,United Kingdom
Die Zeiger Der Uhr,1966,10,7,Germany
Ce Soir Je T'attendais,1966,10,7,Luxembourg
Play-boy,1966,10,7,Finland
Ele E Ela,1966,13,6,Portugal
Stop Ja Stop - Ja Stop Mens Legen Er Go,1966,14,4,Denmark
Fernando En Philippo,1966,15,2,Netherlands
Chez Nous,1966,16,1,France
Bien Plus Fort,1966,17,0,Monaco
Dio Come Ti Amo,1966,17,0,Italy
Puppet On A String,1967,1,47,United Kingdom
If I Could Choose,1967,2,22,Ireland
Il Doit Faire Beau Là-bas,1967,3,20,France
L'amour Est Bleu,1967,4,17,Luxembourg
Boum-badaboum,1967,5,10,Monaco
Hablemos Del Amor,1967,6,9,Spain
Ik Heb Zorgen,1967,7,8,Belgium
Som En Dröm,1967,8,7,Sweden
Anouschka,1967,8,7,Germany
Vse Rože Sveta,1967,8,7,Yugoslavia
Non Andare Più Lontano,1967,11,4,Italy
O Vento Mudou,1967,12,3,Portugal
Varjoon-suojaan,1967,12,3,Finland
Ring-dinge,1967,14,2,Netherlands
Warum Es Hunderttausend Sterne Gibt,1967,14,2,Austria
Dukkemann,1967,14,2,Norway
Quel Cœur Vas-tu Briser?,1967,17,0,Switzerland
La La La...,1968,1,29,Spain
Congratulations,1968,2,28,United Kingdom
La Source,1968,3,20,France
Chance Of A Lifetime,1968,4,18,Ireland
Det Börjar Verka Kärlek Banne Mej,1968,5,15,Sweden
Ein Hoch Der Liebe,1968,6,11,Germany
Quand Tu Reviendras,1968,7,8,Belgium
A Chacun Sa Chanson,1968,7,8,Monaco
Jedan Dan,1968,7,8,Yugoslavia
Marianne,1968,10,7,Italy
Verão,1968,11,5,Portugal
Nous Vivrons D'amour,1968,11,5,Luxembourg
Tausend Fenster,1968,13,2,Austria
Guardando Il Sole,1968,13,2,Switzerland
Stress,1968,13,2,Norway
Morgen,1968,16,1,Netherlands
Kun Kello Käy,1968,16,1,Finland
Vivo Cantando,1969,1,18,Spain
Boom Bang-a-bang,1969,1,18,United Kingdom
De Troubadour,1969,1,18,Netherlands
Un Jour Un Enfant,1969,1,18,France
Bonjour Bonjour,1969,5,13,Switzerland
Maman Maman,1969,6,11,Monaco
The Wages Of Love,1969,7,10,Ireland
Jennifer Jennings,1969,7,10,Belgium
Judy Min Vän,1969,9,8,Sweden
Primaballerina,1969,9,8,Germany
Cathérine,1969,11,7,Luxembourg
Kuin Silloin Ennen,1969,12,6,Finland
Pozdrav Svijetu,1969,13,5,Yugoslavia
Due Grosse Lacrime Bianche,1969,13,5,Italy
Desfolhada Portuguesa,1969,15,4,Portugal
Oj Oj Oj Så Glad Jeg Skal Bli,1969,16,1,Norway
All Kinds Of Everything,1970,1,32,Ireland
Knock Knock (who's there?),1970,2,26,United Kingdom
Wunder Gibt Es Immer Wieder,1970,3,12,Germany
Retour,1970,4,8,Switzerland
Marie Blanche,1970,4,8,France
Gwendolyne,1970,4,8,Spain
Waterman,1970,7,7,Netherlands
Occhi Di Ragazza,1970,8,5,Italy
Viens L'oublier,1970,8,5,Belgium
Marlène,1970,8,5,Monaco
Pridi Dala Ti Bom Cvet,1970,11,4,Yugoslavia
Je Suis Tombé Du Ciel,1970,12,0,Luxembourg
Un Banc Un Arbre Une Rue,1971,1,128,Monaco
En Un Mundo Nuevo,1971,2,116,Spain
Diese Welt,1971,3,100,Germany
Jack In The Box,1971,4,98,United Kingdom
L'amore è Un Attimo,1971,5,91,Italy
Vita Vidder,1971,6,85,Sweden
De Tijd,1971,6,85,Netherlands
Tie Uuteen Päivään,1971,8,84,Finland
Menina Do Alto Da Serra,1971,9,83,Portugal
Un Jardin Sur La Terre,1971,10,82,France
One Day Love,1971,11,79,Ireland
Les Illusions De Nos Vingt Ans,1971,12,78,Switzerland
Pomme Pomme Pomme,1971,13,70,Luxembourg
Goeie Morgen Morgen,1971,14,68,Belgium
Tvoj Djecak Je Tuzan,1971,14,68,Yugoslavia
Musik,1971,16,66,Austria
Lykken Er...,1971,17,65,Norway
Marija L-Maltija,1971,18,52,Malta
Après Toi,1972,1,128,Luxembourg
Beg Steal Or Borrow,1972,2,114,United Kingdom
Nur Die Liebe Läßt Uns Leben,1972,3,107,Germany
Als Het Om De Liefde Gaat,1972,4,106,Netherlands
Falter Im Wind,1972,5,100,Austria
I Giorni Dell' Arcobaleno,1972,6,92,Italy
A Festa Da Vida,1972,7,90,Portugal
C'est La Chanson De Mon Amour,1972,8,88,Switzerland
Muzika I Ti,1972,9,87,Yugoslavia
Amanece,1972,10,83,Spain
Comé-comédie,1972,11,81,France
Muistathan,1972,12,78,Finland
Härliga Sommardag,1972,13,75,Sweden
Småting,1972,14,73,Norway
Ceol On Ghrá,1972,15,72,Ireland
Comme On S'aime,1972,16,65,Monaco
À La Folie Ou Pas Du Tout,1972,17,55,Belgium
L-imħabba,1972,18,48,Malta
Tu Te Reconnaîtras,1973,1,129,Luxembourg
Eres Tú,1973,2,125,Spain
Power To All Our Friends,1973,3,123,United Kingdom
Ey-sham,1973,4,97,Israel
You're Summer,1973,5,94,Sweden
Tom Tom Tom,1973,6,93,Finland
It's Just A Game,1973,7,89,Norway
Junger Tag,1973,8,85,Germany
Un Train Qui Part,1973,8,85,Monaco
Tourada,1973,10,80,Portugal
Do I Dream?,1973,10,80,Ireland
Je Me Vais Marier Marie,1973,12,79,Switzerland
Chi Sarà Con Te,1973,13,74,Italy
De Oude Muzikant,1973,14,69,Netherlands
Gori Vatra,1973,15,65,Yugoslavia
Sans Toi,1973,15,65,France
Baby Baby,1973,17,58,Belgium
Waterloo,1974,1,24,Sweden
Si,1974,2,18,Italy
I See A Star,1974,3,15,Netherlands
Long Live Love,1974,4,14,United Kingdom
Bye Bye I Love You,1974,4,14,Luxembourg
Celui Qui Reste Et Celui Qui S'en Va,1974,4,14,Monaco
Natati La Khayay,1974,7,11,Israel
Cross Your Heart,1974,7,11,Ireland
Canta Y Se Feliz,1974,9,10,Spain
Fleur De Liberté,1974,9,10,Belgium
Krassi Thalassa Ke T'agori Mou,1974,11,7,Greece
Moja Generacija,1974,12,6,Yugoslavia
Äla Mene Pois (keep Me Warm),1974,13,4,Finland
The First Day Of Love,1974,14,3,Norway
Die Sommermelodie,1974,14,3,Germany
Mein Ruf Nach Dir,1974,14,3,Switzerland
E Depois Do Adeus,1974,14,3,Portugal
Ding-A-Dong,1975,1,152,Netherlands
Let Me Be The One,1975,2,138,United Kingdom
Era,1975,3,115,Italy
Et Bonjour à Toi L'artiste,1975,4,91,France
Toi,1975,5,84,Luxembourg
Mikado,1975,6,77,Switzerland
Old Man Fiddle,1975,7,74,Finland
Jennie Jennie,1975,8,72,Sweden
That's What Friends Are For,1975,9,68,Ireland
Tú Volverás,1975,10,53,Spain
At Va'Ani,1975,11,40,Israel
Singing This Song,1975,12,32,Malta
Dan Ljubezni,1975,13,22,Yugoslavia
Une Chanson C'est Une Lettre,1975,13,22,Monaco
Gelukkig Zijn,1975,15,17,Belgium
Madrugada,1975,16,16,Portugal
Ein Lied Kann Eine Brücke Sein,1975,17,15,Germany
You Touched My Life With Summer,1975,18,11,Norway
Seninle Bir Dakika,1975,19,3,Turkey
Save Your Kisses For Me,1976,1,164,United Kingdom
Un Deux Trois,1976,2,147,France
Toi La Musique Et Moi,1976,3,93,Monaco
Djambo Djambo,1976,4,91,Switzerland
My Little World,1976,5,80,Austria
Emor Shalom,1976,6,77,Israel
We'll Live It All Again,1976,7,69,Italy
Judy Et Cie.,1976,8,68,Belgium
The Party's Over Now,1976,9,56,Netherlands
When,1976,10,54,Ireland
Pump-pump,1976,11,44,Finland
Uma Flor De Verde Pinho,1976,12,24,Portugal
Panaghia Mou Panaghia Mou,1976,13,20,Greece
Chansons Pour Ceux Qui S'aiment,1976,14,17,Luxembourg
Sing Sang Song,1976,15,12,Germany
Sobran Las Palabras,1976,16,11,Spain
Ne Mogu Skriti Svoju Bol,1976,17,10,Yugoslavia
Mata Hari,1976,18,7,Norway
L'oiseau Et L'enfant,1977,1,136,France
Rock Bottom,1977,2,121,United Kingdom
It's Nice To Be In Love Again,1977,3,119,Ireland
Une Petite Française,1977,4,96,Monaco
Mathima Solfez,1977,5,92,Greece
Swiss Lady,1977,6,71,Switzerland
A Million In One Two Three,1977,7,69,Belgium
Telegram,1977,8,55,Germany
Enseñame A Cantar,1977,9,52,Spain
Lapponia,1977,10,50,Finland
Ah-haa-vah Hee Shir Lish-naa-yim,1977,11,49,Israel
De Mallemolen,1977,12,35,Netherlands
Liberà,1977,13,33,Italy
Casanova,1977,14,18,Norway
Portugal No Coração,1977,14,18,Portugal
Frère Jacques,1977,16,17,Luxembourg
Boom Boom Boomerang,1977,17,11,Austria
Beatles,1977,18,2,Sweden
A-Ba-Ni-Bi,1978,1,157,Israel
L'amour ça Fait Chanter La Vie,1978,2,125,Belgium
Il Y Aura Toujours Des Violons,1978,3,119,France
Les Jardins De Monaco,1978,4,107,Monaco
Born To Sing,1978,5,86,Ireland
Feuer,1978,6,84,Germany
Parlez-vous Français?,1978,7,73,Luxembourg
Charlie Chaplin,1978,8,66,Greece
Bailemos Un Vals,1978,9,65,Spain
Vivre,1978,9,65,Switzerland
The Bad Old Days,1978,11,61,United Kingdom
Questo Amore,1978,12,53,Italy
't Is Ok,1978,13,37,Netherlands
Det Blir Alltid Värre Framåt Natten,1978,14,26,Sweden
Mrs. Caroline Robinson,1978,15,14,Austria
Boom Boom,1978,16,13,Denmark
Dai-li-dou,1978,17,5,Portugal
Anna Rakkaudelle Tilaisuus,1978,18,2,Finland
Sevince,1978,18,2,Turkey
Mil Etter Mil,1978,20,0,Norway
Hallelujah,1979,1,125,Israel
Su Canción,1979,2,116,Spain
Je Suis L'enfant-soleil,1979,3,106,France
Happy Man,1979,5,80,Ireland
Disco Tango,1979,6,76,Denmark
Mary Ann,1979,7,73,United Kingdom
Socrati,1979,8,69,Greece
Sobe Sobe Balão Sobe,1979,9,64,Portugal
Trödler Und Co.,1979,10,60,Switzerland
Oliver,1979,11,57,Norway
Colorado,1979,12,51,Netherlands
J'ai Déjà Vu ça Dans Tes Yeux,1979,13,44,Luxembourg
Katson Sineen Taivaan,1979,14,38,Finland
Raggio Di Luna,1979,15,27,Italy
Notre Vie C'est La Musique,1979,16,12,Monaco
Satellit,1979,17,8,Sweden
Hey Nana,1979,18,5,Belgium
Heute In Jerusalem,1979,18,5,Austria
What's Another Year,1980,1,143,Ireland
Theater,1980,2,128,Germany
Love Enough For Two,1980,3,106,United Kingdom
Cinéma,1980,4,104,Switzerland
Amsterdam,1980,5,93,Netherlands
Non So Che Darei,1980,6,87,Italy
Um Grande Grande Amor,1980,7,71,Portugal
Du Bist Musik,1980,8,64,Austria
Papa Pingouin,1980,9,56,Luxembourg
Just Nu!,1980,10,47,Sweden
Hé Hé M'sieurs Dames,1980,11,45,France
Quédate Esta Noche,1980,12,38,Spain
Otostop,1980,13,30,Greece
Tænker Altid På Dig,1980,14,25,Denmark
Petr'oil,1980,15,23,Turkey
Sámiid Ædnan,1980,16,15,Norway
Euro-vision,1980,17,14,Belgium
Bitakat Hob,1980,18,7,Morocco
Huilumies,1980,19,6,Finland
Making Your Mind Up,1981,1,136,United Kingdom
Johnny Blue,1981,2,132,Germany
Humanahum,1981,3,125,France
Io Senza Tei,1981,4,121,Switzerland
Horoscopes,1981,5,105,Ireland
Monika,1981,6,69,Cyprus
Halaylah,1981,7,56,Israel
Feggari Kalokerino,1981,8,55,Greece
Het Is Een Wonder,1981,9,51,Netherlands
Fångad I En Dröm,1981,10,50,Sweden
C'est Peut-être Pas L'Amérique,1981,11,41,Luxembourg
Krøller Eller Ej,1981,11,41,Denmark
Samson,1981,13,40,Belgium
Y Solo Tú,1981,14,38,Spain
Leila,1981,15,35,Yugoslavia
Reggae O.k.,1981,16,27,Finland
Wenn Du Da Bist,1981,17,20,Austria
Dönme Dolap,1981,18,9,Turkey
Play-back,1981,18,9,Portugal
Aldri i Livet,1981,20,0,Norway
Ein Bißchen Frieden,1982,1,161,Germany
Hora,1982,2,100,Israel
Amour On T'aime,1982,3,97,Switzerland
Si Tu Aimes Ma Musique,1982,4,96,Belgium
Mono I Agapi,1982,5,85,Cyprus
Cour Apres Le Temps,1982,6,78,Luxembourg
One Step Further,1982,7,76,United Kingdom
Dag Efter Dag,1982,8,67,Sweden
Sonntag,1982,9,57,Austria
Él,1982,10,52,Spain
Here Today Gone Tomorrow,1982,11,49,Ireland
Adieu,1982,12,40,Norway
Bem-bom,1982,13,32,Portugal
Halo Halo,1982,14,21,Yugoslavia
Hani,1982,15,20,Turkey
Jij En Ik,1982,16,8,Netherlands
